college_name,city,state,sat_25,sat_75,admission_rate,majors
Princeton University,Princeton,NJ,1500,1580,0.05,"Computer Science;Engineering;Biology"
Massachusetts Institute of Technology,Cambridge,MA,1520,1580,0.04,"Computer Science;Engineering;Business;Biology"
Harvard University,Cambridge,MA,1490,1580,0.03,"Computer Science;Biology"
Stanford University,Stanford,CA,1500,1570,0.04,"Computer Science;Engineering;Biology"
University of Pennsylvania,Philadelphia,PA,1500,1570,0.06,"Computer Science;Engineering;Business;Biology"
Cornell University,Ithaca,NY,1470,1550,0.08,"Computer Science;Engineering;Business;Biology"
Carnegie Mellon University,Pittsburgh,PA,1500,1570,0.11,"Computer Science;Engineering;Business;Biology"
New York University,New York,NY,1470,1570,0.09,"Computer Science;Engineering;Business;Biology"
Boston University,Boston,MA,1410,1520,0.11,"Computer Science;Engineering;Business;Biology"
Northeastern University,Boston,MA,1450,1530,0.06,"Computer Science;Engineering;Business;Biology"
University of Michigan,Ann Arbor,MI,1350,1530,0.18,"Computer Science;Engineering;Business;Biology"
University of Virginia,Charlottesville,VA,1400,1540,0.17,"Computer Science;Engineering;Business;Biology"
University of North Carolina at Chapel Hill,Chapel Hill,NC,1370,1530,0.19,"Computer Science;Business;Biology"
Georgia Institute of Technology,Atlanta,GA,1370,1530,0.16,"Computer Science;Engineering;Business;Biology"
University of Florida,Gainesville,FL,1320,1470,0.24,"Computer Science;Engineering;Business;Biology"
University of Texas at Austin,Austin,TX,1240,1470,0.29,"Computer Science;Engineering;Business;Biology"
Rutgers University-New Brunswick,New Brunswick,NJ,1270,1480,0.66,"Computer Science;Engineering;Business;Biology"
Pennsylvania State University-University Park,University Park,PA,1210,1390,0.55,"Computer Science;Engineering;Business;Biology"
University of Maryland-College Park,College Park,MD,1370,1520,0.44,"Computer Science;Engineering;Business;Biology"
Ohio State University-Columbus,Columbus,OH,1310,1480,0.53,"Computer Science;Engineering;Business;Biology"
Purdue University-West Lafayette,West Lafayette,IN,1210,1470,0.50,"Computer Science;Engineering;Business;Biology"
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,1280,1470,0.49,"Computer Science;Engineering;Business;Biology"
University of Connecticut,Storrs,CT,1220,1440,0.55,"Computer Science;Engineering;Business;Biology"
Temple University,Philadelphia,PA,1120,1370,0.80,"Computer Science;Engineering;Business;Biology"
Drexel University,Philadelphia,PA,1230,1430,0.78,"Computer Science;Engineering;Business;Biology"
University of Delaware,Newark,DE,1170,1350,0.72,"Computer Science;Engineering;Business;Biology"
Rowan University,Glassboro,NJ,1100,1320,0.77,"Computer Science;Engineering;Business;Biology"
Montclair State University,Montclair,NJ,1010,1210,0.91,"Computer Science;Business;Biology"
New Jersey Institute of Technology,Newark,NJ,1190,1450,0.66,"Computer Science;Engineering;Business;Biology"
Stevens Institute of Technology,Hoboken,NJ,1380,1510,0.46,"Computer Science;Engineering;Business;Biology"
Seton Hall University,South Orange,NJ,1150,1330,0.75,"Computer Science;Business;Biology"
University of Massachusetts Amherst,Amherst,MA,1250,1460,0.64,"Computer Science;Engineering;Business;Biology"
Virginia Tech,Blacksburg,VA,1240,1450,0.57,"Computer Science;Engineering;Business;Biology"
Michigan State University,East Lansing,MI,1110,1320,0.84,"Computer Science;Engineering;Business;Biology"
Indiana University-Bloomington,Bloomington,IN,1180,1400,0.82,"Computer Science;Business;Biology"
University of Iowa,Iowa City,IA,1130,1350,0.86,"Computer Science;Engineering;Business;Biology"
Arizona State University Campus Immersion,Tempe,AZ,1100,1320,0.90,"Computer Science;Engineering;Business;Biology"
University of Arizona,Tucson,AZ,1140,1370,0.87,"Computer Science;Engineering;Business;Biology"
University of Oregon,Eugene,OR,1130,1360,0.86,"Computer Science;Business;Biology"
University of Colorado Boulder,Boulder,CO,1160,1390,0.81,"Computer Science;Engineering;Business;Biology"
